person_id,name
1006,Dany Boon
1007,Julie Gayet
1008,Nacho Cerdà
1009,Karim Hussain
1010,Richard Stanley
1011,Anastasia Hille
1012,Karel Roden
1013,Valentin Goshev
1014,Wayne Beach
1015,Anthony Walton
1016,Ray Liotta
1017,Jolene Blalock
1018,LL Cool J
1019,David Mickey Evans
1020,Art D'Alessandro
1021,James Grayford
1022,Sean Astin
1023,Powers Boothe
1024,Rachael Leigh Cook
1025,Jim Mickle
1026,Gregory Weidman
1027,Geoffrey Tock
1028,Boyd Holbrook
1029,Cleopatra Coleman
1030,Bokeem Woodbine
1031,François Girard
1032,Alessandro Baricco
1033,Michael Golding
1034,Michael Pitt
1035,Kôji Yakusho
1036,Christopher Cain
1037,Carole Whang Schutter
1038,Jon Voight
1039,Trent Ford
1040,Tamara Hope
1041,Emanuele Crialese
1042,Vincenzo Amato
1043,Vincent Schiavelli
1044,James Isaac
1045,James DeMonaco
1046,Todd Harthan
1047,James Roday Rodriguez
1048,Jason Behr
1049,Elias Koteas
1050,Rhona Mitra
1051,Milos Forman
1052,Jean-Claude Carrière
1053,Javier Bardem
1054,Natalie Portman
1055,Stellan Skarsgård
1056,Zoe R. Cassavetes
1057,Melvil Poupaud
1058,Gena Rowlands
1059,Jag Mundhra
1060,Carl Austin
1061,Rahila Gupta
1062,Miranda Richardson
1063,Naveen Andrews
1064,Andrew Wagner
1065,Brian Morton
1066,Fred Parnes
1067,Frank Langella
1068,Lauren Ambrose
1069,Patti Perkins
1070,Will Forte
1071,Jenna Fischer
1072,Sanjay Leela Bhansali
1073,Fyodor Dostoevsky
1074,Prakash Kapadia
1075,Vibhu Puri
1076,Ranbir Kapoor
1077,Sonam Kapoor
1078,Salman Khan
1079,Richard Shepard
1080,Scott Anderson
1081,Richard Gere
1082,Jesse Eisenberg
1083,Rob Stewart
1084,Paul Watson
1085,Erich Ritter
1086,Adam Ravetch
1087,Sarah Robertson
1088,Linda Woolverton
1089,Mose Richards
1090,Kristin Gore
1091,Queen Latifah
1092,Katrina Agate
1093,Zain Ali
1094,David Wain
1095,Ken Marino
1096,Paul Rudd
1097,Jessica Alba
1098,Jeffrey Blitz
1099,Reece Thompson
1100,Anna Kendrick
1101,Nicholas D'Agosto
1102,Pascale Ferran
1103,D.H. Lawrence
1104,Roger Bohbot
1105,Marina Hands
1106,Jean-Louis Coulloc'h
1107,Hippolyte Girardot
1108,Laurent Tirard
1109,Grégoire Vigneron
1110,Romain Duris
1111,Fabrice Luchini
1112,Laura Morante
1113,Ham Tran
1114,Lam Nguyen
1115,Kieu Chinh
1116,Long Nguyen
1117,Diem Lien
1118,Corey Yuen
1119,J.F. Lawton
1120,Adam Gross
1121,Seth Gross
1122,Jaime Pressly
1123,Devon Aoki
1124,Sarah Carter
1125,Alexander Talal
