genre_id,genre_name
1278,"Documentary, Sport"
1279,Drama
1281,Drama
1282,"Crime, Thriller"
1284,"Documentary, Sport"
1285,Documentary
1287,"Drama, Musical, Romance"
1289,"Comedy, Drama"
1293,Documentary
1298,Comedy
1302,"Comedy, Drama"
1303,Drama
1306,"Crime, Drama, Thriller"
1307,"Comedy, Drama"
1309,"Comedy, Sport"
1310,"Animation, Horror, Mystery"
1312,"Drama, Romance"
1313,"Drama, Romance"
1314,Documentary
1315,Drama
1316,Drama
1317,"Horror, Mystery, Thriller"
1320,"Documentary, War"
1327,"Documentary, Music"
1329,Drama
1332,"Documentary, Biography"
1334,"Documentary, Crime"
1335,"Biography, Drama, Music"
1336,"Comedy, Drama"
1337,"Documentary, Music"
1338,"Biography, Crime, Drama"
1341,"Drama, Thriller"
1347,"Action, Western"
1348,"Drama, Thriller"
1354,"Drama, Romance"
1356,Drama
1357,Drama
1364,"Mystery, Sci-Fi, Thriller"
1365,"Comedy, Drama"
1368,Comedy
1378,"Crime, Drama, Thriller"
1381,"Comedy, Drama, Romance"
1384,"Comedy, Crime, Drama"
1385,"Crime, Drama, Thriller"
1387,"Comedy, Drama, Fantasy"
1389,"Comedy, Drama, Music"
1390,"Drama, Romance"
1393,Drama
1394,"Comedy, Crime, Thriller"
1395,"Comedy, Drama, Romance"
1398,Comedy
1399,"Documentary, Biography, Crime"
1405,"Documentary, Sport"
1407,"Crime, Drama, Thriller"
1408,"Drama, Romance"
1409,Drama
1410,"Action, Adventure, Fantasy"
1411,"Action, Adventure, Sci-Fi"
1412,"Action, Adventure, Family"
1413,"Adventure, Drama, Fantasy"
1414,"Animation, Adventure, Comedy"
1415,Comedy
1416,"Action, Adventure, Sci-Fi"
1417,"Biography, Drama, Sport"
1418,"Animation, Adventure, Comedy"
1419,"Action, Adventure, Mystery"
1420,"Animation, Adventure, Comedy"
1422,"Action, Sci-Fi"
1423,"Adventure, Comedy, Family"
1424,"Action, Adventure, Sci-Fi"
1425,"Comedy, Drama, Romance"
1426,"Action, Adventure, Thriller"
1427,"Action, Adventure, Sci-Fi"
1428,"Action, Comedy, Crime"
1429,"Action, Crime, Thriller"
1430,"Action, Mystery, Thriller"
1431,"Action, Sci-Fi"
1432,"Animation, Adventure, Comedy"
1434,"Animation, Action, Adventure"
1435,"Action, Sci-Fi, Thriller"
1436,"Comedy, Drama, Romance"
